repeat,method,success,wall_seconds,allocations,attempted_macro_edges,frontier_peak,projective_error,exact_error,ancilla_leakage,macro_witness
0,oracle_hierarchical_sarsa_linucb,True,0.10521941000001789,94,352,236,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
0,oracle_deferred_fixed_order,True,0.0969983739998952,100,371,252,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
0,oracle_exact_target_potential,True,0.03936420900004123,48,180,139,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
1,oracle_hierarchical_sarsa_linucb,True,0.10328774699996757,94,352,236,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
1,oracle_deferred_fixed_order,True,0.0953391630000624,100,371,252,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
1,oracle_exact_target_potential,True,0.044943375999991986,48,180,139,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
2,oracle_hierarchical_sarsa_linucb,True,0.11082698700010951,94,352,236,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
2,oracle_deferred_fixed_order,True,0.09435379499996088,100,371,252,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
2,oracle_exact_target_potential,True,0.038466844999902605,48,180,139,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
3,oracle_hierarchical_sarsa_linucb,True,0.0999689610000587,94,352,236,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
3,oracle_deferred_fixed_order,True,0.09516616699988845,100,371,252,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
3,oracle_exact_target_potential,True,0.03756942299992261,48,180,139,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
4,oracle_hierarchical_sarsa_linucb,True,0.1009865449998415,94,352,236,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
4,oracle_deferred_fixed_order,True,0.09546256599992375,100,371,252,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
4,oracle_exact_target_potential,True,0.03843358399990393,48,180,139,1.2218759727930592e-15,1.2237659599594665e-15,3.26493941301335e-32,"TOFFOLI(0,1,4); CNOT(0,4); CNOT(4,3); TOFFOLI(2,4,3); CNOT(0,4); TOFFOLI(0,1,4)"
