allocation,attempted_edges,frontier_size,best_distance,selected_distance
1,4,4,0.013888888888888888,0.013888888888888888
2,8,7,0.013888888888888888,0.013888888888888888
3,12,9,0.013888888888888888,0.013888888888888888
4,16,13,0.013888888888888888,0.013888888888888888
5,20,16,0.030555555555555555,0.013888888888888888
6,24,19,0.030555555555555555,0.041666666666666664
7,28,22,0.030555555555555555,0.041666666666666664
8,32,24,0.030555555555555555,0.041666666666666664
9,36,26,0.030555555555555555,0.041666666666666664
10,40,28,0.013888888888888888,0.041666666666666664
11,44,30,0.013888888888888888,0.013888888888888888
12,48,32,0.013888888888888888,0.013888888888888888
13,52,35,0.013888888888888888,0.013888888888888888
14,56,38,0.013888888888888888,0.013888888888888888
15,60,40,0.013888888888888888,0.013888888888888888
16,64,42,0.013888888888888888,0.013888888888888888
17,68,46,0.013888888888888888,0.013888888888888888
18,72,50,0.013888888888888888,0.013888888888888888
19,73,50,0.013888888888888888,0.013888888888888888
20,74,50,0.013888888888888888,0.013888888888888888
21,78,53,0.013888888888888888,0.013888888888888888
22,82,54,0.013888888888888888,0.013888888888888888
23,86,56,0.013888888888888888,0.013888888888888888
24,90,58,0.013888888888888888,0.013888888888888888
25,94,60,0.013888888888888888,0.013888888888888888
26,98,61,0.013888888888888888,0.013888888888888888
27,102,64,0.013888888888888888,0.013888888888888888
28,106,66,0.013888888888888888,0.013888888888888888
29,107,66,0.013888888888888888,0.013888888888888888
30,108,66,0.013888888888888888,0.013888888888888888
31,112,69,0.013888888888888888,0.013888888888888888
32,116,71,0.013888888888888888,0.013888888888888888
33,120,72,0.013888888888888888,0.013888888888888888
34,124,76,0.013888888888888888,0.013888888888888888
35,125,76,0.030555555555555555,0.013888888888888888
36,129,78,0.030555555555555555,0.041666666666666664
37,133,80,0.030555555555555555,0.041666666666666664
38,137,84,0.030555555555555555,0.041666666666666664
39,141,86,0.030555555555555555,0.041666666666666664
40,145,88,0.030555555555555555,0.041666666666666664
41,149,91,0.030555555555555555,0.041666666666666664
42,153,94,0.030555555555555555,0.041666666666666664
43,154,94,0.030555555555555555,0.041666666666666664
44,158,96,0.030555555555555555,0.041666666666666664
45,162,97,0.030555555555555555,0.041666666666666664
46,166,100,0.030555555555555555,0.041666666666666664
47,169,102,0.030555555555555555,0.041666666666666664
48,173,104,0.030555555555555555,0.041666666666666664
49,177,106,0.030555555555555555,0.041666666666666664
50,181,109,0.030555555555555555,0.041666666666666664
51,184,110,0.030555555555555555,0.041666666666666664
52,188,113,0.030555555555555555,0.030555555555555555
53,192,117,0.030555555555555555,0.030555555555555555
54,196,120,0.030555555555555555,0.030555555555555555
55,200,124,0.030555555555555555,0.030555555555555555
56,204,127,0.030555555555555555,0.030555555555555555
57,208,131,0.030555555555555555,0.030555555555555555
58,212,134,0.030555555555555555,0.030555555555555555
59,216,138,0.030555555555555555,0.030555555555555555
60,220,142,0.030555555555555555,0.030555555555555555
61,224,145,0.030555555555555555,0.030555555555555555
62,228,148,0.030555555555555555,0.030555555555555555
63,232,151,0.030555555555555555,0.030555555555555555
64,236,154,0.030555555555555555,0.030555555555555555
65,240,158,0.030555555555555555,0.030555555555555555
66,244,162,0.030555555555555555,0.030555555555555555
67,248,165,0.030555555555555555,0.030555555555555555
68,252,168,0.030555555555555555,0.030555555555555555
69,256,172,0.030555555555555555,0.030555555555555555
70,260,176,0.030555555555555555,0.030555555555555555
71,264,179,0.030555555555555555,0.030555555555555555
72,268,182,0.030555555555555555,0.030555555555555555
73,272,186,0.030555555555555555,0.030555555555555555
74,276,190,0.030555555555555555,0.030555555555555555
75,280,194,0.030555555555555555,0.030555555555555555
76,284,197,0.030555555555555555,0.030555555555555555
77,288,200,0.030555555555555555,0.030555555555555555
78,292,203,0.030555555555555555,0.030555555555555555
79,296,206,0.030555555555555555,0.030555555555555555
80,300,208,0.030555555555555555,0.030555555555555555
81,304,210,0.030555555555555555,0.030555555555555555
82,308,212,0.030555555555555555,0.030555555555555555
83,312,214,0.030555555555555555,0.030555555555555555
84,315,215,0.030555555555555555,0.030555555555555555
85,318,216,0.030555555555555555,0.030555555555555555
86,322,218,0.016666666666666666,0.030555555555555555
87,326,221,0.016666666666666666,0.016666666666666666
88,330,224,0.016666666666666666,0.016666666666666666
89,334,228,0.016666666666666666,0.016666666666666666
90,338,232,0.016666666666666666,0.016666666666666666
91,342,232,0.016666666666666666,0.016666666666666666
92,346,234,0.016666666666666666,0.016666666666666666
93,350,234,0.016666666666666666,0.016666666666666666
94,352,236,-0.0,0.016666666666666666
