method,method_label,target,num_qubits,native_actions,generator_length,runs,success_rate,median_observed_wall_seconds,q1_observed_wall_seconds,q3_observed_wall_seconds,median_observed_cpu_seconds,median_observed_attempted_edges,median_observed_outer_decisions,median_observed_frontier_peak,median_observed_policy_rows,median_success_wall_seconds,q1_success_wall_seconds,q3_success_wall_seconds,median_success_cpu_seconds,median_attempted_edges,median_outer_decisions,median_frontier_peak,median_policy_rows,stop_reasons
mixed_deferred_outer_sarsa_inner_linucb,Deferred SARSA + LinUCB,heldout-mixed-basis-echo-5q,5,45,6,3,1.0,0.033724261999964256,0.03309728199997153,0.03792319949997136,0.03372955300000058,162,44,154,4329,0.033724261999964256,0.03309728199997153,0.03792319949997136,0.03372955300000058,162,44,154,4329,certified
mixed_deferred_outer_sarsa_inner_linucb,Deferred SARSA + LinUCB,heldout-mixed-frame-phase-4q,4,32,6,3,1.0,0.010346810999976697,0.010213324999995166,0.012168451499974253,0.010351672000000534,52,15,48,590,0.010346810999976697,0.010213324999995166,0.012168451499974253,0.010351672000000534,52,15,48,590,certified
mixed_deferred_outer_sarsa_inner_linucb,Deferred SARSA + LinUCB,heldout-mixed-frame-phase-6q-ood,6,60,6,2,1.0,0.015884067000001778,0.015847081000003982,0.015921052999999574,0.015887838499997642,50.0,14.0,32.0,496.0,0.015884067000001778,0.015847081000003982,0.015921052999999574,0.015887838499997642,50.0,14.0,32.0,496.0,certified
mixed_deferred_outer_sarsa_native_order,Deferred SARSA + native order,heldout-mixed-basis-echo-5q,5,45,6,3,1.0,0.041621763999955874,0.040775743499978034,0.042496551999988696,0.04161353599999984,245,66,229,7899,0.041621763999955874,0.040775743499978034,0.042496551999988696,0.04161353599999984,245,66,229,7899,certified
mixed_deferred_outer_sarsa_native_order,Deferred SARSA + native order,heldout-mixed-frame-phase-4q,4,32,6,3,1.0,0.011999852000030842,0.011669284499987498,0.016373473000044214,0.012004499999999751,87,24,70,1023,0.011999852000030842,0.011669284499987498,0.016373473000044214,0.012004499999999751,87,24,70,1023,certified
mixed_deferred_outer_sarsa_native_order,Deferred SARSA + native order,heldout-mixed-frame-phase-6q-ood,6,60,6,2,1.0,0.02025558500002944,0.02019931550003662,0.020311854500022264,0.02025925399999906,102.0,27.0,84.0,1226.0,0.02025558500002944,0.02019931550003662,0.020311854500022264,0.02025925399999906,102.0,27.0,84.0,1226.0,certified
mixed_eager_outer_sarsa,Eager outer SARSA,heldout-mixed-basis-echo-5q,5,45,6,3,1.0,0.045832398999891666,0.045294698499958486,0.04691384849991209,0.04583840799999983,585,13,281,2081,0.045832398999891666,0.045294698499958486,0.04691384849991209,0.04583840799999983,585,13,281,2081,certified
mixed_eager_outer_sarsa,Eager outer SARSA,heldout-mixed-frame-phase-4q,4,32,6,3,1.0,0.011670797000078892,0.011379803500005892,0.011692079499994179,0.011675591000001262,192,6,105,361,0.011670797000078892,0.011379803500005892,0.011692079499994179,0.011675591000001262,192,6,105,361,certified
mixed_eager_outer_sarsa,Eager outer SARSA,heldout-mixed-frame-phase-6q-ood,6,60,6,2,1.0,0.02110822999998163,0.020949115000007623,0.02126734499995564,0.021112627499999093,360.0,6.0,146.0,517.0,0.02110822999998163,0.020949115000007623,0.02126734499995564,0.021112627499999093,360.0,6.0,146.0,517.0,certified
mixed_eager_target_potential,Eager target potential,heldout-mixed-basis-echo-5q,5,45,6,1,0.0,2.0022617179999997,2.0022617179999997,2.0022617179999997,2.0021646559999997,29475,655,4775,1831209,,,,,,,,,wall_limit
mixed_eager_target_potential,Eager target potential,heldout-mixed-frame-phase-4q,4,32,6,1,1.0,0.15123222500005795,0.15123222500005795,0.15123222500005795,0.15123449399999878,5440,170,833,60846,0.15123222500005795,0.15123222500005795,0.15123222500005795,0.15123449399999878,5440,170,833,60846,certified
mixed_eager_target_potential,Eager target potential,heldout-mixed-frame-phase-6q-ood,6,60,6,1,0.0,1.2920492019999301,1.2920492019999301,1.2920492019999301,1.2919983219999995,30720,512,1376,421599,,,,,,,,,expansion_cap
