method,target,num_qubits,generator_length,success,certified,stop_reason,wall_seconds,cpu_seconds,outer_decisions,attempted_edges,generated,accepted,rejected,frontier_peak,policy_rows,context_rows_built,maximum_matrix_error,witness,repetition
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.01399009199997181,0.013994869999999437,15,52,52,51,1,48,590,111,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",0
mixed_deferred_outer_sarsa_native_order,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.011999852000030842,0.012004499999999751,24,87,87,85,2,70,1023,0,0.0,"H(1); T(2); CNOT(0,3); CNOT(2,3); S(2); TDG(3)",0
mixed_eager_target_potential,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.15123222500005795,0.15123449399999878,170,5440,1134,1029,105,833,60846,0,0.0,"H(1); S(2); CNOT(0,3); CNOT(2,3); T(2); TDG(3)",0
mixed_eager_outer_sarsa,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.011088809999932892,0.011092382999999373,6,192,111,110,1,105,361,0,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",0
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.010079839000013635,0.01008337299999873,15,52,52,51,1,48,590,111,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",1
mixed_eager_outer_sarsa,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.011670797000078892,0.011675591000001262,6,192,111,110,1,105,361,0,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",1
mixed_deferred_outer_sarsa_native_order,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.020747094000057587,0.02075308899999939,24,87,87,85,2,70,1023,0,0.0,"H(1); T(2); CNOT(0,3); CNOT(2,3); S(2); TDG(3)",1
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.010346810999976697,0.010351672000000534,15,52,52,51,1,48,590,111,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",2
mixed_deferred_outer_sarsa_native_order,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.011338716999944154,0.011342415999999744,24,87,87,85,2,70,1023,0,0.0,"H(1); T(2); CNOT(0,3); CNOT(2,3); S(2); TDG(3)",2
mixed_eager_outer_sarsa,heldout-mixed-frame-phase-4q,4,6,True,True,certified,0.011713361999909466,0.011717543999999691,6,192,111,110,1,105,361,0,0.0,"H(1); CNOT(0,3); CNOT(2,3); T(2); S(2); TDG(3)",2
mixed_deferred_outer_sarsa_inner_linucb,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.033724261999964256,0.03372955300000058,44,162,162,162,0,154,4329,275,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",0
mixed_eager_target_potential,heldout-mixed-basis-echo-5q,5,6,False,False,wall_limit,2.0022617179999997,2.0021646559999997,655,29475,5815,5459,356,4775,1831209,0,,,0
mixed_eager_outer_sarsa,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.045832398999891666,0.04583840799999983,13,585,295,293,2,281,2081,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",0
mixed_deferred_outer_sarsa_native_order,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.041621763999955874,0.04161353599999984,66,245,245,243,2,229,7899,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",0
mixed_eager_outer_sarsa,heldout-mixed-basis-echo-5q,5,6,True,True,certified,0.044756998000025305,0.04476210800000047,13,585,295,293,2,281,2081,0,0.0,"T(3); CNOT(1,0); H(0); SDG(4); TDG(4); CNOT(1,0)",1
