target_index,hierarchy,untrained,greedy,outer,inner,uniform_cost,audit_only,hierarchy_minus_untrained
0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
1,0.23333333333333328,0.40000000000000013,0.40000000000000013,0.28666666666666657,0.2,0.0,0.0,-0.16666666666666685
2,0.0,0.16666666666666657,0.16666666666666657,0.12222222222222218,0.16666666666666657,0.0,0.0,-0.16666666666666657
3,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
4,0.375,0.5,0.5,0.375,0.5,0.0,0.0,-0.125
5,0.0,0.28571428571428564,0.28571428571428564,0.05714285714285714,0.28571428571428564,0.0,0.0,-0.28571428571428564
6,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
7,0.3333333333333333,0.3333333333333333,0.16666666666666657,0.3333333333333333,0.16666666666666657,0.0,0.0,0.0
8,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
9,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.0,0.0,0.0
10,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
11,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.22000000000000006,0.2,0.2,0.2,0.2,0.0,0.0,0.020000000000000046
14,0.28571428571428564,0.28571428571428564,0.28571428571428564,0.2523809523809523,0.28571428571428564,0.0,0.0,0.0
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
16,0.21666666666666665,0.16666666666666657,0.16666666666666657,0.21666666666666665,0.16666666666666657,0.0,0.0,0.05000000000000007
17,0.26666666666666666,0.5,0.5,0.4,0.5,0.0,0.0,-0.23333333333333334
18,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
19,0.29999999999999993,0.29999999999999993,0.0,0.29999999999999993,0.0,0.0,0.0,0.0
20,0.0,0.29999999999999993,0.2,0.039999999999999994,0.2,0.0,0.0,-0.29999999999999993
21,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.0,0.0,0.0
22,0.07999999999999999,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.07999999999999999
23,0.0,0.375,0.0,0.25,0.0,0.0,0.0,-0.375
24,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.40000000000000013,0.0,0.0,0.0
